Account no,Title,Contact,Address 1,Address 2,Address 3,Town,County,Post Code,Region,Telephone,Email,Website
1115725,OSTLES TYRES,Stuart Ostle,Currie Road Industrial Estate,,,Galashiels,Selkirkshire,TD1 2BP,Scotland,01896 756421,ostles@tyres.gbtbroadband.co.uk,
1116019,OXFORD TYRE & BATTERY,Derek Littler,Oakworth Road,,,Keighley,West Yorkshire,BD21 1QT,Yorks & Humber,01535 605044,oxfordtyres@yahoo.co.uk,
1115787,P&B TYRES,Brian Evans,Unit 4A,Maesbury Road Ind Estate,,Oswestry,Shropshire,SY10 8GA,West Midlands,01691 655859,sales@pbtyres.net,www.pandbtyres.co.uk
1117661,PENISTONE TYRES,Mark-Rachel Pearson,Bridge End Garage,Bridge End,,Sheffield,South Yorkshire,S36 7AH,Yorks & Humber,01226 767160,info@penistonetyres.com,
1115882,PENNINE SERVICE STATION,Graham How,Longsight Road,,,Osbaldeston,Lancashire,BB2 7HZ,North West,01254 812715,pennineservicestation@yahoo.com,
1115791,PERSHORE TYRE SERVICES,Shawn Parsons,1 Lyttleton Road,,,Pershore,Worcestershire,WR10 2DF,West Midlands,01386 553349,pershoretyres@btconnect.com,www.pershoretyresltd.co.uk
1105370,PETER WINN TYRES,Andrew Winn,1 Garths End,,,York,North Yorkshire,YO42 2HZ,Yorks & Humber,01759 302907,info@winntyres.co.uk,www.winntyres.co.uk
1115781,PHIL HARVEY TYRES,Phil Harvey,Cromwell Road Garage,,,Newport,Gwent,NP11 7AD,South Wales,01633 615075,harvey.tyres@btconnect.com,www.philharveytyres.co.uk
1115836,PHILLIPS TYRES CASTLE CARY,Nigel Phillips,Centre Garage,The Triangle,,Castle Cary,Somerset,BA7 7BD,South West,01963 351944,diana.phillipstyres@yahoo.co.uk,
1085259,Phils Tyres,Phil Abbs,Unit 7 Aston Business Park,Shrewsbury Avenue,,Peterborough,Cambridgeshire,PE2 7BX,East,01733 390060,,www.philstyres.co.uk
1085134,PLUME TYRES,Russell Parker,18 Sheaf Lane,Sheldon,,Birmingham,West Midlands,B26 3HD,West Midlands,0121 742 5051,russell.parker@plumetyres.co.uk,www.zoomtoplume.com
1121837,Plymouth Tyres Ltd,Don Fraser,"Unit 6, Broxton Drive",Pomphlett Farm Industrial Estate,Plymstock,Plymouth,Devon,PL9 7BG,South West,01752 492560,sales@plymouthtyres.co.uk,www.plymouthtyres.co.uk
1084701,PRESTON TYRE SPECIALISTS,Duncan Higham,Unit 1,Peel Street,,Preston,Lancashire,PR2 2QS,North West,01772 253379,prestontyrespecialists@gmail.com,
1083235,PRO-FIT TYRES,Craig Armstrong,Unit 2,Walker Street,,Oldham,Lancashire,OL8 1SX,North West,0161 626 0111,pro-fittyres@msn.com,
1101220,QUEENS PARK TYRES LTD,Vincent Salmons,107 Perry Street,,,Billericay,Essex,CM12 0NH,South East,01277 650422,qpt@btconnect.com,www.queensparktyres.co.uk
1115725,RANDYS AUTO REPAIRS,Scott Randy,Unit 6 Roodlands Business Park,Hospital Road,,Haddington,East Lothian,EH41 3PE,Scotland,01620 825 110,enquiries@randys.autorepairs.co.uk,
1116360,RHYL TYRE & BATTERY,Arthur Webber,117 Marsh Road,,,Rhyl,Clwyd,LL18 2AB,South Wales,01745 332000,sales@rtbtyres.com,www.rhyltyres.co.uk
1087184,RLG TYRES,Chris-Caroline Wells,Durrants Farm,Cowbeech Road,,Rushlake Green,East Sussex,TN21 9QB,South East,01435 830664,info@rlgtyres.co.uk,www.rlgtyres.co.uk
1085620,ROADRUNNER SERVICE CENTRE,Bryan Bell,11 Gruneisen Road,Finchley,,London,,N3 1LS,London,0208 346 9777,bryan@roadrunnerservicecentre.co.uk,www.roadrunnerservicecentre.co.uk
1084758,ROADWHEEL TYRE & EXHAUST LIMITED,Gary Averiss,Unit 20 Waterfront Business Park,Fleet,,Fleet,Hampshire,GU51 3QT,South East,01252 617788,fleetenquiries@roadwheel.co.uk,http://roadwheel.co.uk/
1087070,ROB HENSON VEHICLE SERVICES,Rob Henson,Little London,,,Spalding,Lincolnshire,PE11 2UJ,East,01775 719352,rob.henson177@btinternet.com,
1083208,Sale Tyre & Battery,Phil Knowles,Northenden Road,Sale,,Manchester,Greater Manchester,M33 2FE,North West,0161 969 4090,sales@biginrubber.co.uk,www.biginrubber.co.uk
1084542,SANDFORD TYRES,Richard Vennell,Bridgewater Road,Redhill,,Bristol,Avon,BS40 5TG,South West,01934 862885,rich@sandfordtyres.co.uk,www.sandfordtyres.co.uk
1115942,SANDMILL MOT CENTRE,Jamie Thompson,Commerce Road,Blackparks Industrial Estate,,Stranraer,Wigtownshire,DG9 7DE,Scotland,01776 889635,hlthompson@btconnect.com,www.sandmillmotcentre.co.uk
1115725,SCOTT MOTORS,John Scott,Innerleithen Garage,Morningside,,Innerleithen,East Lothian,EH44 6QP,Scotland,01896 830241,scottmotors1@msn.com,
1088608,SOLTYRE LIMITED,Max Gordon,4 Downs Way Industrial Estate,,,Dumfries,Dumfriesshire,DG1 3RS,Scotland,01387 266366,enquiries@soltyre.co.uk,www.soltyre.com
1115996,SPA MOTORS,Sukhi and Laky Saikhon,9-11 Longfield Road,Sydenham Industrial Estate,,Leamington Spa,Warwickshire,CV31 1XB,West Midlands,01926 882 522,sukhi147@hotmail.com,www.spamotors-leamingtonspa.co.uk
1083315,Stag Tyres,Anthony Meggison,12 Oxford Street,,,Hartlepool,Co. Durham,TS25 1PT ,North East,01429 262955,info@stagtyres.co.uk,www.tyrespot.co.uk
1116020,STAPLEHURST TYRES,Dewi Williams,Unit 2 Honey Crest Industrial Park,Lodge Road,,Staplehurst,Kent,TN12 0RX,South East,01580 893326,staplehurst.tyres@hotmail.co.uk,www.staplehursttyres.co.uk
1086081,STATION VIEW GARAGE,Justine Pirt,Station Road,,,Dorking,Surrey,RH4 1HF,South East,01306 880149,justine@stationviewgarage.com,www.stationviewgarage.co.uk
1116207,STEVE ANDREWS TYRES,Steve Andrews,20 Mount Charles Road,,,St Austell,Cornwall,PL25 3LD,South West,01208 269999,lee@steveandrewstyres.co.uk,
1083210,STEVE'S TYRED 'N' EXHAUSTED,Steven Halliday,26-28 Wright Street,,,Southport,Merseyside,PR9 0TL,North West,01704 531777,service@stevestyred.co.uk,www.stevestyrednexhausted.co.uk
1115703,STEVES TYRES & EXHAUSTS,Steve Cummins,79 Dale Road,,,Buxton,Derbyshire,SK17 6NE,North West,01298 70011,stevestyres@yahoo.co.uk,www.stevestyres.com
1088400,TADLEY TYRE SERVICE,Steve Budd,Unit 1b Staceys Industrial Estate,Silchester Road,,Tadley,Hampshire,RG26 3PX,South East,01189 815611,info@tadleytyresandexhaustltd.co.uk,www.tadleytyresandexhaustltd.co.uk
1116065,TAMWORTH TYRE AND EXHAUST CENTRE,Mick Bretherton,411 Watling Street,Two Gates,Wilnecote,Tamworth,Staffordshire,B77 5AL,West Midlands,01827 262522,TAMWORTHTYRES@AOL.COM,tamworthtyres.com
1087096,Tanvic Tyres,Andy Zelos,96 Appletongate,,,Newark,Nottinghamshire,NG24 1LS,East Midlands,01636 671400,,www.tanvic.co.uk
1115876,TARGET AUTO PARTS,Dave Whalley,Pitronnerie Road,,,St Peter Port,Guernsey,GY1 2RF,Channel Islands,01481 728944,target@CWGSY.net,www.targetautoparts.co.uk
1115749,TAYLORS TYRES,Robert Taylor,Barncoose Lane,Illogan Highway,,Redruth,Cornwall,TR15 3EL,South West,01209 315025,taylorstyresltd@gmail.com,www.taylorstyres.com
1101402,TENNYSON TYRES,Peter Blackman,Unit 20 Fleet Road Industrial Estat,,,Holbeach,Lincolnshire,PE12 8LY,East,01406 424262,tyrestennyson@gmail.com,
1122123,The Garage (ALN Garages Limited),Alan Goodey,"Unit 6, Arden Park",Old Wolverton Road,,Milton Keynes,Buckinghamshire,MK12 5RH,South East,01908 315020,thegaragemk@btconnect.com,www.thegaragetyres.co.uk
1099882,THE TYRE WAREHOUSE,Shaun Bancroft,1 Borough Court,,,Brackley,Northamptonshire,NN13 7BE,East Midlands,01280 706030,sales@tyre-warehouse.co.uk,www.tyre-warehouse.co.uk
1116627,THE TYREMEN,Daniel-Steve Turner,28-30 Parsons Lane,,,Clitheroe,Lancashire,BB7 2JP,North West,01200 422277,sharon4222@live.com,www.thetyremenclitheroe.co.uk
1098153,Tomato Tyres Ltd,Anthony Smith,35a Thorney Business Park,Thorney Lane North,,Iver,Buckinghamshire,SL0 9HF,South East,01753 654463,info@tomatotyres.co.uk,tomatotyres.co.uk
1100710,TOWCESTER TYRES,Richard Lawson,Old Tiffield Road,,,Towcester,Northamptonshire,NN12 6PF,East Midlands,01327 359167,sales@towcestertyres.co.uk,www.towcestertyres.co.uk
1083890,TREVS TYRES,Trevor Horton,Unit 8,Cherry Holt Square,,Bourne,Lincolnshire,PE10 9LA,East,01778 426381,,http://www.trevstyres.net/
1115985,TVE TYRES,George Pinder,Leach Road,Chard Business Park,,Chard,Somerset,TA20 1FA,South West,01460 64225,johnpindertve@hotmail.co.uk,www.tveuk.com
1083315,TYRE SPOT,Colin Webb,Drum Road,Birtley,,Chester Le Street,Co. Durham,DH3 2AF,North East,0191 4107762,durham@tyrespot.co.uk,www.tyrespot.co.uk
1105069,TYRECARE ST HELENS,Jon Forrest,45-49 Dentons Green Lane,,,St Helens,Merseyside,WA10 2QF,North West,01744 27214,tyrecareltd@aol.com,www.tyrecaresthelens.co.uk
1115910,TYREFORCE SHREWSBURY,Perry Lee,Unit 2,Haughmond Industrial Estate,,Shrewsbury,Shropshire,SY1 4NT,West Midlands,01743 442272,tyreforceshrewsbury@live.com,https://www.tyreforce-shrewsbury.co.uk
1099127,TYREMARKET,,142 Leeds Road,,,Heckmondwike,West Yorkshire,WF16 9DQ,Yorks & Humber,01924 402615,tyremarketltd@hotmail.co.uk,
1115994,TYRES KING'S LYNN,Nick Crome,Austin Field,,,Kings Lynn,Norfolk,PE30 1PH,East,01553 773265,nickattkl@aol.com,
1116671,TYRESALES & SERVICE,Mike Woolls,Unit 8B Herald Industrial Estate,,,Southampton,Hampshire,SO30 2JW,South East,01489 787350,sales@tyreshops.co.uk,https://www.tyreshops.co.uk/
1083823,TYREWISE,Brian Crank,1 Canal Walk,Rudheath,,Northwich,Cheshire,CW9 7XP,North West,01606 40034,tyrewisenorthwich@live.co.uk,http://tyrewisenorthwich.co.uk/
1087362,TYREWORKS,Andy Falcus,Unit 4,Burnside Business Park,,Market Drayton,Shropshire,TF9 3UX,West Midlands,01630 698080,andrew.falcus@btconnect.com,
1087595,VALES GARAGE,Martin Lee,Rake Road,Milland,,Liphook,Hampshire,GU30 7JS,South East,01428 741274,valesgarage@outlook.com,
1117961,VICTORIA TYRE CENTRE,Mark Thomas,162 Victoria Avenue,,,Hastings,East Sussex,TN35 5BS,South East,01424 460838,victoria4tyres@gmail.co.uk,www.victoriatyrecentre.co.uk
1083802,WARWICK CAR CO LTD,Jack Thomas,Doctor Newtons Way ,Fromeside Industrial Estate,,Stroud,Gloucestershire,GL5 3JX,South West,01453 765112,warwickcars@aol.com,www.warwickcarcompany.co.uk
1085199,Westbury Tyres,Paul Fyfe,Moat Road,West Wiltshire Trading Estate,,Westbury,Wiltshire,BA13 4JS,South West,01373 827200,info@westburytyremot.co.uk,www.westburymot.co.uk
1115725,WESTEND GARAGE,Paul Begley/Ian Marr,4 Westend Units,Charlesfield ,,St Boswells,Roxburghshire,TD6 0HH,Scotland,01835 824664,westend-garage@btconnect.com,
1115837,WHEELCRAFT,John Leeson and Liz Penson,Unit 2b,Heckington Business Park,,Sleaford,Lincolnshire,NG34 9JH,East Midlands,01529 462162,sales@wheelcraftuk.co.uk,www.wheelcraftuk.co.uk
1086907,WILF DAWES TYRES,Lizzy Summers,Unit 1-2 Peninsular Park,,,Saltash,Cornwall,PL12 6LX,South West,01752 846620,wilfdawestyres@btconnect.com,
1095726,WILL ELLERBY TYRES,Will Ellerby,Unit 6B,Vale Road Industrial Estate,,Spilsby,Lincolnshire,PE23 5HE,East,01790 751128,willellerbytyres@btinternet.com,www.willellerbytyresltd.com
1116361,WILLIAMS TYRE & EXHAUST SERVICES,Dale Guiler,1 Boss Hall Road,,,Ipswich,Suffolk,IP1 5BN,East,01473 749292,info@williamstyres.co.uk,www.williamstyres.co.uk
1089142,WINNER GARAGE,Jason Morgan,Forest Vale Industrial Estate,Broadmoor Road,,Cinderford,Gloucestershire,GL14 2PH,South West,01594 829800,service@winnergarage.skoda.co.uk,www.winnergarage.co.uk
1085041,WIRRAL TYRE & COMMERCIAL LTD,Robert Davies,"Unit 1, 10 Old Hall Road",Wirral Int. Business Park,Wirral,Birkenhead,Merseyside,CH62 3NX,North West,0845 3707006,rob@wirraltyre.co.uk,
1084920,WOKINGHAM TYRE & EXHAUST,Chris Edmunds,51e Barkham Road,,,Wokingham,Berkshire,RG41 2RG,South East,0118 978 7875,wokinghamtyresandmot@gmail.com,wokinghamtyres.co.uk
1116450,WYMONDHAM TYRE SERVICES,Trevor Brock,Units 7-8,Spur Industrial Estate,,Wymondham,Norfolk,NR18 0NL,South West,01953 673888,christine@wymondhamtyres.co.uk,www.tyresnorfolk.co.uk
1115835,XPRESS GARAGE & TYRES,Peter Adams ,Unit 3 Plot 13,Tregoniggie Ind. Estate,,Falmouth,Cornwall,TR11 4SN,South West,01326 377997,info@xpressgarage.co.uk,xpressgarage.co.uk
1116079,X-SPURT TYRES,Chris Seston,Unit 39a Lawrence Road Industrial Estate,East Woodberry Lane,,Southend on Sea,Essex,SS2 6RH,East,01702 528222,sales@xspurttyres.co.uk,https://www.xspurttyres.co.uk
,,,,,,,,,,,,
